Algorithm,Cores,N(b),Integration_step,time
gauss.py,8,1.6923076923076923,5e-06,0.5829029344022274
gauss.py,8,1.6923076923076923,5e-06,0.5496689537540078
gauss.py,8,1.6923076923076923,5e-06,0.4953018696978688
gauss.py,8,1.6923076923076923,5e-06,0.49664069153368473
gauss.py,8,1.6923076923076923,5e-06,0.5106160109862685
gauss.py,8,1.6923076923076923,5e-06,0.5500831622630358
gauss.py,8,1.6923076923076923,5e-06,0.4951122421771288
gauss.py,8,1.6923076923076923,5e-06,0.5106590753421187
gauss.py,8,1.6923076923076923,5e-06,0.4706475380808115
gauss.py,8,1.6923076923076923,5e-06,0.5167245175689459
gauss.py,8,1.6923076923076923,5e-06,0.4747587740421295
gauss.py,8,1.6923076923076923,5e-06,0.49385908525437117
gauss.py,8,1.6923076923076923,5e-06,0.5257988050580025
gauss.py,8,1.9230769230769231,5e-06,0.513701505959034
gauss.py,8,1.9230769230769231,5e-06,0.5021107885986567
gauss.py,8,1.9230769230769231,5e-06,0.5656886408105493
gauss.py,8,1.9230769230769231,5e-06,0.4874740755185485
gauss.py,8,1.9230769230769231,5e-06,0.5613670730963349
gauss.py,8,1.9230769230769231,5e-06,0.5816442621871829
gauss.py,8,1.9230769230769231,5e-06,0.5156202306970954
gauss.py,8,1.9230769230769231,5e-06,0.4885199563577771
gauss.py,8,1.9230769230769231,5e-06,0.50529944896698
gauss.py,8,1.9230769230769231,5e-06,0.5146046653389931
gauss.py,8,1.9230769230769231,5e-06,0.5633580619469285
gauss.py,8,1.9230769230769231,5e-06,0.5589856607839465
gauss.py,8,1.9230769230769231,5e-06,0.5124667510390282
gauss.py,8,1.9230769230769231,5e-06,0.5028572306036949
gauss.py,8,1.9230769230769231,5e-06,0.5032949661836028
gauss.py,8,1.9230769230769231,5e-06,0.587316021323204
gauss.py,8,1.9230769230769231,5e-06,0.5659834947437048
gauss.py,8,1.9230769230769231,5e-06,0.5610574241727591
gauss.py,8,1.9230769230769231,5e-06,0.5660241534933448
gauss.py,8,1.9230769230769231,5e-06,0.5316165909171104
gauss.py,8,1.9230769230769231,5e-06,0.5260054152458906
gauss.py,8,1.9230769230769231,5e-06,0.576774237677455
gauss.py,8,1.9230769230769231,5e-06,0.5471024084836245
gauss.py,8,1.9230769230769231,5e-06,0.5458336435258389
gauss.py,8,1.9230769230769231,5e-06,0.5244260281324387
gauss.py,8,1.9230769230769231,5e-06,0.5363012813031673
gauss.py,8,1.9230769230769231,5e-06,0.4829749781638384
gauss.py,8,1.9230769230769231,5e-06,0.5078815398737788
gauss.py,8,1.9230769230769231,5e-06,0.5469592744484544
gauss.py,8,1.9230769230769231,5e-06,0.547925335355103
gauss.py,8,1.9230769230769231,5e-06,0.5753456018865108
gauss.py,8,1.9230769230769231,5e-06,0.5267134364694357
gauss.py,8,1.9230769230769231,5e-06,0.5777153568342328
gauss.py,8,1.9230769230769231,5e-06,0.5966564463451505
gauss.py,8,1.9230769230769231,5e-06,0.5558121176436543
gauss.py,8,1.9230769230769231,5e-06,0.5464137541130185
gauss.py,8,1.9230769230769231,5e-06,0.5622993865981698
gauss.py,8,1.9230769230769231,5e-06,0.5500746909528971
gauss.py,8,1.9230769230769231,5e-06,0.558515795506537
gauss.py,8,1.9230769230769231,5e-06,0.5591027326881886
gauss.py,8,2.153846153846154,5e-06,0.566278194077313
gauss.py,8,2.153846153846154,5e-06,0.5225203288719058
gauss.py,8,2.153846153846154,5e-06,0.5251528490334749
gauss.py,8,2.153846153846154,5e-06,0.5469329357147217
gauss.py,8,2.153846153846154,5e-06,0.5561866043135524
gauss.py,8,2.153846153846154,5e-06,0.5414647040888667
gauss.py,8,2.153846153846154,5e-06,0.5448565157130361
gauss.py,8,2.153846153846154,5e-06,0.5583764314651489
gauss.py,8,2.153846153846154,5e-06,0.5747866993770003
gauss.py,8,2.153846153846154,5e-06,0.5896632950752974
gauss.py,8,2.153846153846154,5e-06,0.5483993384987116
gauss.py,8,2.153846153846154,5e-06,0.55134994443506
gauss.py,8,2.153846153846154,5e-06,0.5555033665150404
gauss.py,8,2.153846153846154,5e-06,0.5872284024953842
gauss.py,8,2.153846153846154,5e-06,0.5774515438824892
gauss.py,8,2.153846153846154,5e-06,0.5573610812425613
gauss.py,8,2.153846153846154,5e-06,0.5810687579214573
gauss.py,8,2.153846153846154,5e-06,0.5452893571928144
gauss.py,8,2.153846153846154,5e-06,0.5127844111993909
gauss.py,8,2.153846153846154,5e-06,0.5356249613687396
gauss.py,8,2.153846153846154,5e-06,0.5361822498962283
gauss.py,8,2.153846153846154,5e-06,0.47836292441934347
gauss.py,8,2.153846153846154,5e-06,0.5512931337580085
gauss.py,8,2.153846153846154,5e-06,0.5681082857772708
gauss.py,8,2.153846153846154,5e-06,0.5588014693930745
gauss.py,8,2.153846153846154,5e-06,0.5565478559583426
gauss.py,8,2.153846153846154,5e-06,0.5685578305274248
gauss.py,8,2.153846153846154,5e-06,0.561444784514606
gauss.py,8,2.153846153846154,5e-06,0.5752473995089531
gauss.py,8,2.153846153846154,5e-06,0.5715774968266487
gauss.py,8,2.153846153846154,5e-06,0.5538093224167824
gauss.py,8,2.153846153846154,5e-06,0.5915789464488626
gauss.py,8,2.153846153846154,5e-06,0.5465376144275069
gauss.py,8,2.153846153846154,5e-06,0.5540381921455264
gauss.py,8,2.153846153846154,5e-06,0.5512601900845766
gauss.py,8,2.153846153846154,5e-06,0.5769707914441824
